province,province_id,district,district_id,ward,ward_id,ward_level,area,pop_density,population,children_0_14,female_15_54,male_15_59,elders,no_household,no_household_w_home
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Minh Trí,00382,Xã, 23.9 , 0.6 ," 14,729 "," 4,047 "," 4,215 "," 4,576 "," 1,891 "," 3,792 ",3684
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Hồng Kỳ,00385,Xã, 14.4 , 0.9 ," 12,559 "," 3,342 "," 3,531 "," 3,765 "," 1,921 "," 3,120 ",3077
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Nam Sơn,00388,Xã, 24.4 , 0.4 ," 9,422 "," 2,519 "," 2,659 "," 2,905 "," 1,339 "," 2,347 ",2333
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Trung Giã,00391,Xã, 8.7 , 1.7 ," 14,732 "," 3,919 "," 4,182 "," 4,427 "," 2,204 "," 3,762 ",3688
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Tân Hưng,00394,Xã, 9.2 , 1.3 ," 11,448 "," 2,828 "," 3,275 "," 3,608 "," 1,737 "," 2,626 ",2606
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Minh Phú,00397,Xã, 18.0 , 0.7 ," 13,430 "," 3,587 "," 3,831 "," 4,205 "," 1,807 "," 3,355 ",3347
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Phù Linh,00400,Xã, 14.0 , 0.9 ," 12,308 "," 3,283 "," 3,628 "," 3,596 "," 1,801 "," 3,005 ",2961
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Bắc Phú,00403,Xã, 11.3 , 1.0 ," 11,572 "," 3,028 "," 3,194 "," 3,716 "," 1,634 "," 2,716 ",2703
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Tân Minh,00406,Xã, 12.5 , 1.4 ," 17,953 "," 4,630 "," 4,688 "," 6,147 "," 2,488 "," 4,307 ",4275
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Quang Tiến,00409,Xã, 13.0 , 0.9 ," 11,339 "," 3,332 "," 3,197 "," 3,489 "," 1,321 "," 2,861 ",2856
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Hiền Ninh,00412,Xã, 13.1 , 1.0 ," 13,081 "," 3,741 "," 3,663 "," 4,005 "," 1,672 "," 3,195 ",3167
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Tân Dân,00415,Xã, 10.3 , 1.5 ," 15,462 "," 4,459 "," 4,238 "," 4,706 "," 2,059 "," 3,780 ",3748
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Tiên Dược,00418,Xã, 13.1 , 1.5 ," 19,313 "," 5,478 "," 5,522 "," 5,720 "," 2,593 "," 4,794 ",4750
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Việt Long,00421,Xã, 7.3 , 1.2 ," 9,130 "," 2,474 "," 2,534 "," 2,895 "," 1,227 "," 1,906 ",1881
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Xuân Giang,00424,Xã, 9.2 , 1.2 ," 10,710 "," 2,734 "," 3,036 "," 3,370 "," 1,570 "," 2,602 ",2588
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Mai Đình,00427,Xã, 15.1 , 1.4 ," 21,899 "," 6,145 "," 6,118 "," 6,828 "," 2,808 "," 5,107 ",5066
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Đức Hoà,00430,Xã, 7.4 , 1.2 ," 8,929 "," 2,397 "," 2,463 "," 2,806 "," 1,263 "," 1,978 ",1966
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Thanh Xuân,00433,Xã, 8.6 , 1.7 ," 14,503 "," 4,033 "," 4,070 "," 4,431 "," 1,969 "," 3,373 ",3345
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Đông Xuân,00436,Xã, 7.1 , 2.0 ," 13,983 "," 3,877 "," 3,842 "," 4,229 "," 2,035 "," 3,350 ",3329
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Kim Lũ,00439,Xã, 5.3 , 2.1 ," 11,131 "," 3,160 "," 3,000 "," 3,536 "," 1,435 "," 2,496 ",2431
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Phú Cường,00442,Xã, 8.5 , 1.7 ," 14,124 "," 3,935 "," 4,015 "," 4,320 "," 1,854 "," 3,515 ",3482
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Phú Minh,00445,Xã, 7.5 , 1.5 ," 10,943 "," 2,924 "," 3,040 "," 3,347 "," 1,632 "," 2,663 ",2642
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Phù Lỗ,00448,Xã, 6.3 , 2.8 ," 17,471 "," 4,561 "," 4,885 "," 5,396 "," 2,629 "," 4,371 ",4350
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Xuân Thu,00451,Xã, 5.6 , 2.0 ," 11,395 "," 3,149 "," 3,246 "," 3,632 "," 1,368 "," 2,420 ",2382
Thành phố Hà Nội,01,Huyện Đông Anh,017,Thị trấn Đông Anh,00454,Thị trấn, 4.6 , 5.5 ," 25,274 "," 6,464 "," 2,784 "," 4,371 "," 11,655 "," 6,748 ",6738
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Xuân Nộn,00457,Xã, 10.9 , 1.5 ," 16,511 "," 4,386 "," 2,504 "," 3,171 "," 6,450 "," 4,054 ",4037
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Thuỵ Lâm,00460,Xã, 11.3 , 1.8 ," 20,089 "," 5,486 "," 2,946 "," 3,700 "," 7,957 "," 4,909 ",4847
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Bắc Hồng,00463,Xã, 7.2 , 1.9 ," 13,831 "," 3,587 "," 2,036 "," 2,597 "," 5,611 "," 3,368 ",3308
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Nguyên Khê,00466,Xã, 7.9 , 2.0 ," 15,982 "," 4,115 "," 2,374 "," 3,128 "," 6,365 "," 3,923 ",3883
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Nam Hồng,00469,Xã, 9.2 , 1.8 ," 16,062 "," 4,332 "," 2,355 "," 3,116 "," 6,259 "," 4,019 ",3992
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Tiên Dương,00472,Xã, 10.1 , 1.9 ," 19,017 "," 4,955 "," 2,760 "," 3,714 "," 7,588 "," 4,685 ",4653
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Vân Hà,00475,Xã, 5.3 , 2.1 ," 11,277 "," 3,185 "," 1,771 "," 2,129 "," 4,192 "," 2,703 ",2703
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Uy Nỗ,00478,Xã, 7.6 , 2.8 ," 21,464 "," 5,568 "," 3,073 "," 4,372 "," 8,451 "," 5,685 ",5655
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Vân Nội,00481,Xã, 6.5 , 2.0 ," 12,836 "," 3,328 "," 2,001 "," 2,678 "," 4,829 "," 3,381 ",3354
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Liên Hà,00484,Xã, 8.2 , 2.2 ," 17,741 "," 4,535 "," 2,645 "," 3,344 "," 7,217 "," 4,359 ",4330
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Việt Hùng,00487,Xã, 8.7 , 2.3 ," 19,689 "," 5,112 "," 3,167 "," 4,072 "," 7,338 "," 5,420 ",5399
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Kim Nỗ,00490,Xã, 6.5 , 2.3 ," 14,644 "," 3,910 "," 2,197 "," 2,755 "," 5,782 "," 3,617 ",3571
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Kim Chung,00493,Xã, 7.6 , 4.2 ," 31,817 "," 6,397 "," 5,557 "," 12,685 "," 7,178 "," 13,406 ",13391
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Dục Tú,00496,Xã, 8.7 , 2.1 ," 18,057 "," 4,458 "," 2,498 "," 3,240 "," 7,861 "," 4,400 ",4373
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Đại Mạch,00499,Xã, 8.4 , 2.0 ," 16,602 "," 4,115 "," 2,861 "," 4,446 "," 5,180 "," 5,073 ",5052
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Vĩnh Ngọc,00502,Xã, 9.6 , 1.7 ," 15,905 "," 4,167 "," 2,422 "," 3,093 "," 6,223 "," 3,820 ",3797
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Cổ Loa,00505,Xã, 8.4 , 2.3 ," 19,639 "," 4,931 "," 2,657 "," 3,511 "," 8,540 "," 4,973 ",4890
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Hải Bối,00508,Xã, 8.3 , 2.5 ," 20,901 "," 5,578 "," 3,745 "," 5,442 "," 6,136 "," 6,325 ",6304
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Xuân Canh,00511,Xã, 6.3 , 1.9 ," 12,159 "," 3,063 "," 1,611 "," 2,223 "," 5,262 "," 3,121 ",3089
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Võng La,00514,Xã, 6.5 , 2.2 ," 14,206 "," 3,133 "," 2,423 "," 4,550 "," 4,100 "," 5,094 ",5090
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Tàm Xá,00517,Xã, 4.6 , 1.1 ," 5,058 "," 1,215 ", 691 , 915 ," 2,237 "," 1,163 ",1142
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Mai Lâm,00520,Xã, 6.2 , 2.3 ," 14,185 "," 3,396 "," 1,969 "," 2,905 "," 5,915 "," 3,987 ",3914
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Đông Hội,00523,Xã, 7.3 , 1.8 ," 12,803 "," 3,356 "," 1,571 "," 2,170 "," 5,706 "," 3,102 ",3071
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Thị trấn Yên Viên,00526,Thị trấn, 1.0 , 13.0 ," 12,679 "," 3,007 "," 3,425 "," 3,877 "," 2,370 "," 3,278 ",3278
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Xã Yên Thường,00529,Xã, 8.7 , 2.1 ," 17,894 "," 4,391 "," 4,899 "," 5,478 "," 3,126 "," 4,739 ",4715
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Xã Yên Viên,00532,Xã, 3.7 , 3.7 ," 13,794 "," 3,271 "," 3,876 "," 4,162 "," 2,485 "," 3,888 ",3861
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Xã Ninh Hiệp,00535,Xã, 4.9 , 3.6 ," 17,965 "," 5,110 "," 4,825 "," 5,503 "," 2,527 "," 4,697 ",4697
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Xã Đình Xuyên,00538,Xã, 3.1 , 3.6 ," 11,240 "," 2,868 "," 3,126 "," 3,522 "," 1,724 "," 3,032 ",3032
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Xã Dương Hà,00541,Xã, 2.7 , 2.7 ," 7,211 "," 1,770 "," 1,962 "," 2,204 "," 1,275 "," 2,057 ",2057
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Xã Phù Đổng,00544,Xã, 11.8 , 1.2 ," 13,686 "," 3,164 "," 3,726 "," 4,078 "," 2,718 "," 3,965 ",3965
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Xã Trung Mầu,00547,Xã, 4.3 , 1.4 ," 5,890 "," 1,468 "," 1,593 "," 1,794 "," 1,035 "," 1,763 ",1763
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Xã Lệ Chi,00550,Xã, 8.3 , 1.5 ," 12,419 "," 2,762 "," 4,128 "," 3,677 "," 1,852 "," 3,610 ",3610
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Xã Cổ Bi,00553,Xã, 4.8 , 3.2 ," 15,354 "," 4,569 "," 4,214 "," 4,361 "," 2,210 "," 4,724 ",4697
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Xã Đặng Xá,00556,Xã, 6.0 , 3.5 ," 20,849 "," 6,697 "," 5,816 "," 5,950 "," 2,386 "," 5,683 ",5663
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Xã Phú Thị,00559,Xã, 5.1 , 1.8 ," 9,257 "," 2,209 "," 2,578 "," 2,869 "," 1,601 "," 2,878 ",2871
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Xã Kim Sơn,00562,Xã, 6.3 , 2.1 ," 13,465 "," 3,121 "," 3,980 "," 4,175 "," 2,189 "," 3,492 ",3450
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Thị trấn Trâu Quỳ,00565,Thị trấn, 7.2 , 4.5 ," 32,180 "," 5,025 "," 12,810 "," 11,384 "," 2,961 "," 13,836 ",13831
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Xã Dương Quang,00568,Xã, 5.7 , 2.3 ," 13,126 "," 3,419 "," 3,588 "," 4,017 "," 2,102 "," 3,502 ",3460
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Xã Dương Xá,00571,Xã, 4.9 , 2.8 ," 13,947 "," 3,406 "," 3,904 "," 4,374 "," 2,263 "," 3,973 ",3843
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Xã Đông Dư,00574,Xã, 3.8 , 1.7 ," 6,231 "," 1,651 "," 1,698 "," 1,794 "," 1,088 "," 1,912 ",1912
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Xã Đa Tốn,00577,Xã, 7.4 , 1.8 ," 13,239 "," 3,091 "," 3,663 "," 4,087 "," 2,398 "," 3,648 ",3647
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Xã Kiêu Kỵ,00580,Xã, 5.9 , 2.2 ," 13,051 "," 3,200 "," 3,689 "," 4,110 "," 2,052 "," 4,199 ",4191
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Xã Bát Tràng,00583,Xã, 1.8 , 4.8 ," 8,622 "," 1,930 "," 2,416 "," 2,694 "," 1,582 "," 2,373 ",2360
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Xã Kim Lan,00586,Xã, 2.7 , 2.3 ," 6,346 "," 1,367 "," 1,850 "," 2,054 "," 1,075 "," 1,734 ",1734
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Xã Văn Đức,00589,Xã, 6.6 , 1.2 ," 7,657 "," 1,795 "," 2,103 "," 2,395 "," 1,364 "," 2,035 ",2035
Thành phố Hà Nội,01,Quận Nam Từ Liêm,019,Phường Cầu Diễn,00592,Phường, 1.5 , 17.9 ," 26,089 "," 7,030 "," 8,176 "," 7,887 "," 2,996 "," 7,920 ",7887
Thành phố Hà Nội,01,Quận Nam Từ Liêm,019,Phường Xuân Phương,00622,Phường, 2.9 , 5.8 ," 17,095 "," 4,509 "," 4,827 "," 5,814 "," 1,945 "," 5,147 ",5055
Thành phố Hà Nội,01,Quận Nam Từ Liêm,019,Phường Phương Canh,00623,Phường, 2.4 , 7.5 ," 18,089 "," 3,718 "," 5,208 "," 7,599 "," 1,564 "," 7,527 ",7522
Thành phố Hà Nội,01,Quận Nam Từ Liêm,019,Phường Mỹ Đình 1,00625,Phường, 2.4 , 11.5 ," 27,147 "," 5,898 "," 9,239 "," 9,734 "," 2,276 "," 9,435 ",9277
Thành phố Hà Nội,01,Quận Nam Từ Liêm,019,Phường Mỹ Đình 2,00626,Phường, 2.0 , 16.4 ," 32,207 "," 7,191 "," 11,889 "," 10,282 "," 2,845 "," 8,224 ",8220
Thành phố Hà Nội,01,Quận Nam Từ Liêm,019,Phường Tây Mỗ,00628,Phường, 6.3 , 4.0 ," 25,497 "," 7,615 "," 7,146 "," 7,567 "," 3,169 "," 7,075 ",7009
Thành phố Hà Nội,01,Quận Nam Từ Liêm,019,Phường Mễ Trì,00631,Phường, 4.5 , 6.9 ," 30,589 "," 7,939 "," 9,522 "," 9,757 "," 3,371 "," 9,373 ",9269
Thành phố Hà Nội,01,Quận Nam Từ Liêm,019,Phường Phú Đô,00632,Phường, 2.5 , 6.2 ," 15,334 "," 4,209 "," 4,671 "," 5,224 "," 1,230 "," 4,618 ",4573
Thành phố Hà Nội,01,Quận Nam Từ Liêm,019,Phường Đại Mỗ,00634,Phường, 5.1 , 6.0 ," 30,906 "," 8,756 "," 8,789 "," 9,774 "," 3,587 "," 8,814 ",8636
Thành phố Hà Nội,01,Quận Nam Từ Liêm,019,Phường Trung Văn,00637,Phường, 2.7 , 15.3 ," 41,293 "," 9,112 "," 14,240 "," 13,192 "," 4,749 "," 13,000 ",12951
Thành phố Hà Nội,01,Huyện Thanh Trì,020,Thị trấn Văn Điển,00640,Thị trấn, 0.9 , 18.5 ," 16,762 "," 4,167 "," 4,598 "," 5,095 "," 2,902 "," 4,555 ",4550
Thành phố Hà Nội,01,Huyện Thanh Trì,020,Xã Tân Triều,00643,Xã, 3.0 , 11.7 ," 34,996 "," 7,877 "," 10,945 "," 12,325 "," 3,849 "," 11,733 ",11733
Thành phố Hà Nội,01,Huyện Thanh Trì,020,Xã Thanh Liệt,00646,Xã, 3.5 , 5.5 ," 19,107 "," 4,947 "," 5,628 "," 6,248 "," 2,284 "," 5,370 ",5370
Thành phố Hà Nội,01,Huyện Thanh Trì,020,Xã Tả Thanh Oai,00649,Xã, 8.1 , 4.9 ," 39,492 "," 11,648 "," 11,514 "," 12,333 "," 3,997 "," 11,397 ",11366
Thành phố Hà Nội,01,Huyện Thanh Trì,020,Xã Hữu Hoà,00652,Xã, 3.0 , 3.9 ," 11,457 "," 3,127 "," 3,273 "," 3,661 "," 1,396 "," 3,290 ",3280
Thành phố Hà Nội,01,Huyện Thanh Trì,020,Xã Tam Hiệp,00655,Xã, 3.2 , 5.2 ," 16,546 "," 4,399 "," 4,670 "," 5,291 "," 2,186 "," 4,967 ",4951
Thành phố Hà Nội,01,Huyện Thanh Trì,020,Xã Tứ Hiệp,00658,Xã, 4.2 , 4.6 ," 19,420 "," 5,494 "," 5,539 "," 5,903 "," 2,484 "," 5,528 ",5509
Thành phố Hà Nội,01,Huyện Thanh Trì,020,Xã Yên Mỹ,00661,Xã, 3.8 , 1.5 ," 5,915 "," 1,286 "," 1,693 "," 1,756 "," 1,180 "," 1,783 ",1759
Thành phố Hà Nội,01,Huyện Thanh Trì,020,Xã Vĩnh Quỳnh,00664,Xã, 6.4 , 4.2 ," 26,997 "," 6,912 "," 7,679 "," 8,535 "," 3,871 "," 7,087 ",7055
Thành phố Hà Nội,01,Huyện Thanh Trì,020,Xã Ngũ Hiệp,00667,Xã, 3.2 , 4.8 ," 15,628 "," 3,857 "," 4,421 "," 4,917 "," 2,433 "," 4,133 ",4112
Thành phố Hà Nội,01,Huyện Thanh Trì,020,Xã Duyên Hà,00670,Xã, 2.8 , 2.3 ," 6,230 "," 1,684 "," 1,691 "," 1,848 "," 1,007 "," 1,885 ",1877
Thành phố Hà Nội,01,Huyện Thanh Trì,020,Xã Ngọc Hồi,00673,Xã, 3.8 , 3.5 ," 13,212 "," 3,588 "," 3,732 "," 4,094 "," 1,798 "," 3,914 ",3904
Thành phố Hà Nội,01,Huyện Thanh Trì,020,Xã Vạn Phúc,00676,Xã, 5.3 , 2.5 ," 13,300 "," 3,407 "," 3,694 "," 4,123 "," 2,076 "," 3,788 ",3756
Thành phố Hà Nội,01,Huyện Thanh Trì,020,Xã Đại áng,00679,Xã, 5.3 , 2.2 ," 11,477 "," 2,824 "," 3,280 "," 3,792 "," 1,581 "," 3,230 ",3220
Thành phố Hà Nội,01,Huyện Thanh Trì,020,Xã Liên Ninh,00682,Xã, 4.2 , 3.8 ," 16,121 "," 4,352 "," 4,383 "," 4,829 "," 2,557 "," 4,668 ",4622
Thành phố Hà Nội,01,Huyện Thanh Trì,020,Xã Đông Mỹ,00685,Xã, 2.8 , 3.3 ," 9,085 "," 2,175 "," 2,508 "," 2,814 "," 1,588 "," 2,784 ",2776
Thành phố Hà Nội,01,Quận Bắc Từ Liêm,021,Phường Thượng Cát,00595,Phường, 4.2 , 1.9 ," 8,074 "," 1,965 "," 2,231 "," 2,551 "," 1,327 "," 2,367 ",2355
Thành phố Hà Nội,01,Quận Bắc Từ Liêm,021,Phường Liên Mạc,00598,Phường, 6.4 , 1.6 ," 10,529 "," 2,818 "," 2,928 "," 3,247 "," 1,536 "," 2,882 ",2864
Thành phố Hà Nội,01,Quận Bắc Từ Liêm,021,Phường Đông Ngạc,00601,Phường, 2.5 , 9.6 ," 24,206 "," 6,835 "," 7,208 "," 7,281 "," 2,882 "," 7,285 ",7275
Thành phố Hà Nội,01,Quận Bắc Từ Liêm,021,Phường Đức Thắng,00602,Phường, 1.2 , 16.2 ," 19,395 "," 2,431 "," 9,276 "," 5,977 "," 1,711 "," 7,488 ",7481
Thành phố Hà Nội,01,Quận Bắc Từ Liêm,021,Phường Thụy Phương,00604,Phường, 2.9 , 4.6 ," 13,367 "," 3,260 "," 3,847 "," 4,184 "," 2,076 "," 4,039 ",4036
Thành phố Hà Nội,01,Quận Bắc Từ Liêm,021,Phường Tây Tựu,00607,Phường, 5.5 , 3.7 ," 20,221 "," 4,388 "," 6,456 "," 6,927 "," 2,450 "," 5,857 ",5836
Thành phố Hà Nội,01,Quận Bắc Từ Liêm,021,Phường Xuân Đỉnh,00610,Phường, 3.5 , 11.5 ," 40,345 "," 10,744 "," 11,919 "," 12,190 "," 5,492 "," 12,140 ",12025
Thành phố Hà Nội,01,Quận Bắc Từ Liêm,021,Phường Xuân Tảo,00611,Phường, 2.3 , 8.1 ," 18,368 "," 4,545 "," 5,733 "," 5,613 "," 2,477 "," 5,715 ",5712
Thành phố Hà Nội,01,Quận Bắc Từ Liêm,021,Phường Minh Khai,00613,Phường, 5.1 , 5.8 ," 29,760 "," 5,029 "," 9,299 "," 12,962 "," 2,470 "," 11,297 ",11278
Thành phố Hà Nội,01,Quận Bắc Từ Liêm,021,Phường Cổ Nhuế 1,00616,Phường, 2.3 , 19.9 ," 46,104 "," 10,789 "," 15,053 "," 15,163 "," 5,099 "," 14,727 ",14703
Thành phố Hà Nội,01,Quận Bắc Từ Liêm,021,Phường Cổ Nhuế 2,00617,Phường, 4.1 , 10.3 ," 42,510 "," 8,991 "," 13,127 "," 15,872 "," 4,520 "," 14,574 ",14536
Thành phố Hà Nội,01,Quận Bắc Từ Liêm,021,Phường Phú Diễn,00619,Phường, 2.8 , 13.9 ," 39,512 "," 9,479 "," 12,979 "," 13,132 "," 3,922 "," 12,985 ",12968
Thành phố Hà Nội,01,Quận Bắc Từ Liêm,021,Phường Phúc Diễn,00620,Phường, 2.4 , 9.5 ," 22,719 "," 4,338 "," 7,625 "," 8,666 "," 2,090 "," 9,728 ",9685
Thành phố Hà Nội,01,Huyện Mê Linh,250,Thị trấn Chi Đông,08973,Thị trấn, 4.7 , 2.7 ," 12,758 "," 2,702 "," 4,695 "," 4,118 "," 1,243 "," 4,536 ",4532
Thành phố Hà Nội,01,Huyện Mê Linh,250,Xã Đại Thịnh,08974,Xã, 8.4 , 1.5 ," 12,787 "," 3,480 "," 3,628 "," 3,918 "," 1,761 "," 3,208 ",3160
Thành phố Hà Nội,01,Huyện Mê Linh,250,Xã Kim Hoa,08977,Xã, 7.6 , 1.5 ," 11,599 "," 3,112 "," 3,203 "," 3,523 "," 1,761 "," 3,018 ",2980
Thành phố Hà Nội,01,Huyện Mê Linh,250,Xã Thạch Đà,08980,Xã, 8.1 , 1.8 ," 14,267 "," 3,706 "," 3,850 "," 4,363 "," 2,348 "," 3,169 ",3125
Thành phố Hà Nội,01,Huyện Mê Linh,250,Xã Tiến Thắng,08983,Xã, 8.6 , 1.7 ," 14,930 "," 3,996 "," 4,105 "," 4,884 "," 1,945 "," 3,311 ",3250
Thành phố Hà Nội,01,Huyện Mê Linh,250,Xã Tự Lập,08986,Xã, 6.7 , 1.8 ," 12,138 "," 3,198 "," 3,367 "," 3,847 "," 1,726 "," 2,691 ",2656
Thành phố Hà Nội,01,Huyện Mê Linh,250,Thị trấn Quang Minh,08989,Thị trấn, 9.0 , 2.7 ," 24,639 "," 6,041 "," 8,148 "," 8,327 "," 2,123 "," 9,207 ",9189
Thành phố Hà Nội,01,Huyện Mê Linh,250,Xã Thanh Lâm,08992,Xã, 12.6 , 1.5 ," 18,580 "," 4,930 "," 5,249 "," 5,786 "," 2,615 "," 4,915 ",4895
Thành phố Hà Nội,01,Huyện Mê Linh,250,Xã Tam Đồng,08995,Xã, 6.8 , 1.4 ," 9,594 "," 2,625 "," 2,696 "," 2,957 "," 1,316 "," 2,436 ",2417
Thành phố Hà Nội,01,Huyện Mê Linh,250,Xã Liên Mạc,08998,Xã, 8.2 , 1.9 ," 15,724 "," 4,093 "," 4,320 "," 4,940 "," 2,371 "," 3,759 ",3734
Thành phố Hà Nội,01,Huyện Mê Linh,250,Xã Vạn Yên,09001,Xã, 3.1 , 1.7 ," 5,184 "," 1,355 "," 1,358 "," 1,588 ", 883 ," 1,205 ",1198
Thành phố Hà Nội,01,Huyện Mê Linh,250,Xã Chu Phan,09004,Xã, 8.1 , 1.3 ," 10,565 "," 2,735 "," 2,834 "," 3,301 "," 1,695 "," 2,697 ",2694
Thành phố Hà Nội,01,Huyện Mê Linh,250,Xã Tiến Thịnh,09007,Xã, 7.4 , 1.5 ," 11,418 "," 2,783 "," 3,066 "," 3,554 "," 2,015 "," 2,739 ",2739
Thành phố Hà Nội,01,Huyện Mê Linh,250,Xã Mê Linh,09010,Xã, 6.0 , 2.3 ," 13,713 "," 3,313 "," 3,930 "," 4,389 "," 2,081 "," 3,554 ",3527
Thành phố Hà Nội,01,Huyện Mê Linh,250,Xã Văn Khê,09013,Xã, 13.3 , 1.2 ," 15,558 "," 4,113 "," 4,360 "," 4,838 "," 2,247 "," 3,978 ",3937
Thành phố Hà Nội,01,Huyện Mê Linh,250,Xã Hoàng Kim,09016,Xã, 6.1 , 1.0 ," 6,132 "," 1,549 "," 1,749 "," 1,918 ", 916 ," 1,508 ",1502
Thành phố Hà Nội,01,Huyện Mê Linh,250,Xã Tiền Phong,09019,Xã, 10.6 , 1.8 ," 19,493 "," 5,149 "," 5,578 "," 6,061 "," 2,705 "," 5,037 ",4986
Thành phố Hà Nội,01,Huyện Mê Linh,250,Xã Tráng Việt,09022,Xã, 7.3 , 1.6 ," 11,476 "," 2,991 "," 3,177 "," 3,633 "," 1,675 "," 2,838 ",2820
Thành phố Hà Nội,01,Quận Hà Đông,268,Phường Nguyễn Trãi,09538,Phường, 0.4 , 29.6 ," 12,459 "," 2,953 "," 3,303 "," 3,465 "," 2,738 "," 3,326 ",3324
Thành phố Hà Nội,01,Quận Hà Đông,268,Phường Mộ Lao,09541,Phường, 1.3 , 26.1 ," 34,072 "," 8,185 "," 10,185 "," 10,605 "," 5,097 "," 9,440 ",9428
Thành phố Hà Nội,01,Quận Hà Đông,268,Phường Văn Quán,09542,Phường, 1.3 , 19.9 ," 26,389 "," 5,930 "," 7,737 "," 8,713 "," 4,009 "," 6,260 ",6222
Thành phố Hà Nội,01,Quận Hà Đông,268,Phường Vạn Phúc,09544,Phường, 1.5 , 13.0 ," 18,877 "," 4,969 "," 5,471 "," 5,589 "," 2,848 "," 4,924 ",4719
Thành phố Hà Nội,01,Quận Hà Đông,268,Phường Yết Kiêu,09547,Phường, 0.2 , 28.9 ," 6,081 "," 1,465 "," 1,612 "," 1,754 "," 1,250 "," 1,724 ",1723
Thành phố Hà Nội,01,Quận Hà Đông,268,Phường Quang Trung,09550,Phường, 0.8 , 21.4 ," 17,242 "," 4,197 "," 4,961 "," 4,828 "," 3,256 "," 4,196 ",4193
