province,province_id,district,district_id,ward,ward_id,ward_level,area,pop_density,population,children_0_14,female_15_54,male_15_59,elders,no_household,no_household_w_home
Thành phố Hà Nội,01,Quận Hoàn Kiếm,002,Phường Phan Chu Trinh,00085,Phường, 0.4 , 11.9 ," 4,846 ", 832 ," 1,302 "," 1,396 "," 1,316 "," 1,426 ",1425
Thành phố Hà Nội,01,Quận Hoàn Kiếm,002,Phường Hàng Bài,00088,Phường, 0.3 , 19.9 ," 5,484 ", 954 ," 1,459 "," 1,515 "," 1,556 "," 1,563 ",1551
Thành phố Hà Nội,01,Quận Tây Hồ,003,Phường Phú Thượng,00091,Phường, 6.5 , 4.0 ," 26,071 "," 6,493 "," 7,465 "," 7,670 "," 4,443 "," 6,666 ",6620
Thành phố Hà Nội,01,Quận Tây Hồ,003,Phường Nhật Tân,00094,Phường, 3.8 , 4.1 ," 15,597 "," 3,598 "," 4,524 "," 4,751 "," 2,724 "," 4,554 ",4554
Thành phố Hà Nội,01,Quận Tây Hồ,003,Phường Tứ Liên,00097,Phường, 2.9 , 6.3 ," 18,360 "," 4,095 "," 5,185 "," 5,508 "," 3,572 "," 4,799 ",4777
Thành phố Hà Nội,01,Quận Tây Hồ,003,Phường Quảng An,00100,Phường, 3.8 , 2.7 ," 10,290 "," 2,094 "," 2,777 "," 2,945 "," 2,474 "," 2,609 ",2606
Thành phố Hà Nội,01,Quận Tây Hồ,003,Phường Xuân La,00103,Phường, 2.4 , 11.5 ," 27,500 "," 6,233 "," 8,517 "," 8,689 "," 4,061 "," 7,740 ",7726
Thành phố Hà Nội,01,Quận Tây Hồ,003,Phường Yên Phụ,00106,Phường, 1.5 , 15.8 ," 23,301 "," 4,786 "," 6,424 "," 6,804 "," 5,287 "," 6,183 ",6160
Thành phố Hà Nội,01,Quận Tây Hồ,003,Phường Bưởi,00109,Phường, 1.5 , 16.7 ," 24,778 "," 5,015 "," 6,782 "," 7,163 "," 5,818 "," 6,507 ",6485
Thành phố Hà Nội,01,Quận Tây Hồ,003,Phường Thụy Khuê,00112,Phường, 2.1 , 7.1 ," 14,598 "," 2,874 "," 4,026 "," 4,157 "," 3,541 "," 4,015 ",4005
Thành phố Hà Nội,01,Quận Long Biên,004,Phường Thượng Thanh,00115,Phường, 4.6 , 6.3 ," 28,936 "," 7,451 "," 8,164 "," 8,722 "," 4,599 "," 7,899 ",7878
Thành phố Hà Nội,01,Quận Long Biên,004,Phường Ngọc Thụy,00118,Phường, 8.8 , 4.5 ," 39,565 "," 10,075 "," 11,105 "," 11,838 "," 6,547 "," 10,134 ",10117
Thành phố Hà Nội,01,Quận Long Biên,004,Phường Giang Biên,00121,Phường, 4.3 , 5.6 ," 24,315 "," 7,436 "," 6,898 "," 6,867 "," 3,114 "," 6,633 ",6623
Thành phố Hà Nội,01,Quận Long Biên,004,Phường Đức Giang,00124,Phường, 2.5 , 11.0 ," 27,694 "," 6,649 "," 7,753 "," 8,270 "," 5,022 "," 7,403 ",7383
Thành phố Hà Nội,01,Quận Long Biên,004,Phường Việt Hưng,00127,Phường, 3.7 , 6.0 ," 22,375 "," 6,123 "," 6,344 "," 6,518 "," 3,390 "," 5,849 ",5834
